Sentence,Sentiment,Cleaned_Sentence,Is_Augmented,Technique
works with google chrome but not internet explorer,neutral,compatible with google chrome but not internet explorer,True,bert_paraphrasing
Alright... Someone has to stop this! RT @JetBlue: Our fleet's on fleek. http://t.co/lchVJoliDg,neutral,alright someone has to stop this rt our fleets on fleek,False,original
@united been sitting on this plane 3:15 unreal. When will my 2+ day nightmare end?,negative,been sitting on this plane 315 unreal when will my 2 day nightmare end,False,original
"@AmericanAir Just got a call from baggage dept. ""...still looking for your property"". It's went missing 1/28. PRERECORDED NO HUMAN SERVICE!!",negative,just got a call from baggage dept still looking for your property its went missing 128 prerecorded no human service,False,original
bagage which i take to in the cabin i dont need to checkincorrect,neutral,bagage which i came to in the cabin i dont need to checkincorrect,True,bert_paraphrasing
"@USAirways #Overbooked SXM-CLT delayed deplaning extra passengers. #missedconnection #forcedovernight #CLT, no lodging/food. Disappointed.",negative,overbooked sxmclt delayed deplaning extra passengers missedconnection forcedovernight clt no lodgingfood disappointed,False,original
"@USAirways Now I am probably going to miss my connection in Charlotte, so I will have to drive home for the funeral.",negative,now i am probably going to miss my connection in charlotte so i will have to drive home for the funeral,False,original
i mean probably inappropriate while on board but its on,positive,i mean probably inappropriate while on duty but its on,True,bert_paraphrasing
tweet just popped up on my phone with follows missing my favorite southwest pilot and brother,neutral,tweet just popped up on my phone with follows from my favorite southwest pilot and brother,True,bert_paraphrasing
@SouthwestAir not letting me DM. # is FSZ4YO,negative,not letting me dm is fsz4yo,False,original
@united I got it now. Wouldn't let me log on with my email. Thx. Here's hoping for dtw-ase without issue today,neutral,i got it now wouldnt let me log on with my email thx heres hoping for dtwase without issue today,False,original
@AmericanAir I was going to change it to tomorrow because I am concerned if the fllight does make I won't be able to leave the airport   1/2,neutral,i was going to change it to tomorrow because i am concerned if the fllight does make i wont be able to leave the airport 12,False,original
i had exceptional service on flight 403 from ind to phx,positive,i had exceptional service on flight operations from ind to phx,True,bert_paraphrasing
anywhere away from this snow globe to warmth sand and palm trees,neutral,anyplace away from this snow globe to warmth sand and palm trees,True,synonym_replacement
i am good i just did not understand the terminology but the merger brings new verbiage,neutral,i am good i just did not understand the terminology but the merger brings new get,True,bert_paraphrasing
@AmericanAir I love your company and your staff is amazing. They just made an uncomfortable situation comfortable,positive,i love your company and your staff is amazing they just made an uncomfortable situation comfortable,False,original
i would prefer a similar picture but full of e190 tails but great shot,positive,i would prefer a similar motion picture but full of e190 tails but great shot,True,synonym_replacement
Yes but I will nvr fly w/ @USAirways I missed my con flight bc of a coffeemaker on FT1892 Couldn't see my father be4 they put him in a coma,negative,yes but i will nvr fly w i missed my con flight bc of a coffeemaker on ft1892 couldnt see my father be4 they put him in a coma,False,original
"@SouthwestAir Loved one's flight ATL to IND Cancelled Flightled due to ""ice in Indy"". Sitting here in Indy, it is bone dry. Tomorrow 4-6"" of snow.",negative,loved ones flight atl to ind cancelled flightled due to ice in indy sitting here in indy it is bone dry tomorrow 46 of snow,False,original
all day travel swag ijustwanttosleep,neutral,all day you swag ijustwanttosleep,True,bert_paraphrasing
theres only one flt phlcrw per day,neutral,theres only one flt phlcrw per twenty four hours,True,synonym_replacement
here you go your napkins pretty much say it all,positive,here you go your napkins jolly much say it all,True,synonym_replacement
any delays on tonights flight from dfw to sat i have family members on board,neutral,any delays on four flight from dfw to sat i have our members on board,True,bert_paraphrasing
"@SouthwestAir: #VIPLiveintheVieyard - first time we tried to redeem pts for *anything*, it really did not go well. #disappointed",negative,vipliveinthevieyard first time we tried to redeem pts for anything it really did not go well disappointed,False,original
well have all day and all the time in the world,positive,well have all day and all clip the time in the world,True,random_insertion
awesome customer service on 390 from rdu they snuck my wife a warm cookie thx,positive,awesome customer inspection and repair on 390 from rdu they snuck my wife a warm cookie thx,True,synonym_replacement
"@united I was denied use of a rear facing car seat on UA5025, an ERJ145. Can you confirm the actual policy?",negative,i was denied use of a rear facing car seat on ua5025 an erj145 can you confirm the actual policy,False,original
@jetblue is the website down? Can't print boarding pass,negative,is the website down cant print boarding pass,False,original
flight 117 proud to fly jet blue,positive,flight 117 used to fly jet blue,True,bert_paraphrasing
@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,negative,heyyyy guyyyys been trying to get through for an hour can someone call me please,False,original
here you go your napkins pretty much say it all,positive,here you go your napkins and much say it all,True,bert_paraphrasing
is it possible to add a known traveler number to my ticket after flight booking problems,neutral,is it possible to add a make love traveler number to my ticket after flight booking problems,True,synonym_replacement
bagage which i take to in the cabin i dont need to checkincorrect,neutral,bagage which i take to in the past i dont need to checkincorrect,True,bert_paraphrasing
@united just 1 last thing. U guys shouldn't be charging $ for drinks on a transatlantic flight,negative,just 1 last thing u guys shouldnt be charging for drinks on a transatlantic flight,False,original
omgee onfleek why why loudlycryingface beamingfacewithsmilingeyes grinningsquintingface facewithcrossedouteyes how many people even know what that means lol,neutral,and onfleek why why loudlycryingface beamingfacewithsmilingeyes grinningsquintingface facewithcrossedouteyes how many people would know what that means lol,True,bert_paraphrasing
@united Just let the employees know that good service and a kind attitude towards customers is vital in this kind of business. Thanks,negative,just let the employees know that good service and a kind attitude towards customers is vital in this kind of business thanks,False,original
"@JetBlue Traveling with two kids tomorrow (ages 7 and 4) domestic, do they need birth certificates to check in at airport?",neutral,traveling with two kids tomorrow ages 7 and 4 domestic do they need birth certificates to check in at airport,False,original
learning about your awesome twitter management today in my social media marketing class keep up the good work,positive,learning about your awesome chirrup management today in my social media marketing class keep up the good work,True,synonym_replacement
thanks well be in touch,positive,thanks and be in touch,True,bert_paraphrasing
@united or us air: http://t.co/Eis9hcNPrO,neutral,or us air,False,original
@AmericanAir I called reservation at 1 am and I'm still waiting for someone to call me back,negative,i called reservation at 1 am and im still waiting for someone to call me back,False,original
@AmericanAir what are my chances of making a connection to El Paso (AA504) with DFW from SAT (AA200) delayed 30 minutes?,negative,what are my chances of making a connection to el paso aa504 with dfw from sat aa200 delayed 30 minutes,False,original
@SouthwestAir are ur flight still Cancelled Flight from nashville tn today and tomorrow to Dallas TX? I been waiting on phone to ur office for 40 min.,negative,are ur flight still cancelled flight from nashville tn today and tomorrow to dallas tx i been waiting on phone to ur office for 40 min,False,original
@JetBlue sure is 💙,positive,sure is blueheart,False,original
gains altitude but skywest hits turbulence jblu skyw investors business daily,neutral,gains altitude but skywest hits turbulence at skyw investors business daily,True,bert_paraphrasing
all day travel swag ijustwanttosleep,neutral,all i travel swag ijustwanttosleep,True,bert_paraphrasing
"@SouthwestAir used to exclusively fly SW, but Late Flightly, direct flights &amp; cheaper costs have me switched. 😔 why...so... few...direct...flights?",negative,used to exclusively fly sw but late flightly direct flights amp cheaper costs have me switched pensiveface whyso fewdirectflights,False,original
"@united SF crew lack a lot of customer service, LAX employees are a lot better. Wonder why...",negative,sf crew lack a lot of customer service lax employees are a lot better wonder why,False,original
despite my bag not making it to newark good informative email tracking updates help,positive,despite my bag not making it to newark to getting email tracking updates help,True,bert_paraphrasing
theres only one flt phlcrw per day,neutral,theres only one more phlcrw per day,True,bert_paraphrasing
@USAirways  where's my bag?  In line 200 deep at DCA. Agents say call 800 #.  800# says talk to agents. Abysmal customer service,negative,wheres my bag in line 200 deep at dca agents say call 800 800 says talk to agents abysmal customer service,False,original
can u help with flights to get a 2y old battling cancer who needs treatment in unitedstates growingheart ribbon growingheart,neutral,can u help with flights to get a typewriter ribbon 2y old battling cancer who needs treatment in unitedstates growingheart ribbon growingheart,True,random_insertion
sureill send a message now,neutral,sureill have a message now,True,bert_paraphrasing
@USAirways we will...sunday! Just a few days away,positive,we willsunday just a few days away,False,original
"@united Good evening, UA. Can you assist with an issue via DM?",neutral,good evening ua can you assist with an issue via dm,False,original
@USAirways That link doesn't work on mobile.,negative,that link doesnt work on mobile,False,original
@united is it possible to add a Known Traveler Number to my ticket after Flight Booking Problems?,neutral,is it possible to add a known traveler number to my ticket after flight booking problems,False,original
is it possible to add a known traveler number to my ticket after flight booking problems,neutral,is it possible to add a known traveler number to my ticket after flight of stairs booking problems,True,synonym_replacement
@AmericanAir I tried that &amp; they have been disrespectful not professional &amp; my 2nd flight been Cancelled Flighted I have to get home for a surgeryHELP,negative,i tried that amp they have been disrespectful not professional amp my 2nd flight been cancelled flighted i have to get home for a surgeryhelp,False,original
great job celebrating mardigras2015 you own the industry another reason im nuts for you,positive,great experience celebrating mardigras2015 you own the industry another week im nuts for you,True,bert_paraphrasing
"@AmericanAir Uwon't allow me2make changes online, force me2sit thru excess phone wait times&amp;still insist charging crazy fees. Thats service?",negative,uwont allow me2make changes online force me2sit thru excess phone wait timesampstill insist charging crazy fees thats service,False,original
@USAirways of course weather was a joke 43 beats 5 degrees in PHL! ⛄️☀️,neutral,of course weather was a joke 43 beats 5 degrees in phl snowmanwithoutsnow sun,False,original
what is the baggage allowance on flights from glasgow to the us thanks,neutral,what is the fare allowance on flights from glasgow to the us thanks,True,bert_paraphrasing
@united thanks we'll be in touch!,positive,thanks well be in touch,False,original
has the best customer service,positive,has the best customer service of process service,True,random_insertion
@USAirways JUST LANDED flight 545. Any chance of making flight 5530 Phoenix to AUS,neutral,just landed flight 545 any chance of making flight 5530 phoenix to aus,False,original
255 tomorrow from ric to bos looking good or am i better rescheduling,neutral,255 tomorrow from ric to genus bos looking good or am i better rescheduling,True,synonym_replacement
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",negative,hey first time flyer next week excited but im having a hard time getting my flights added to my elevate account help,False,original
"@SouthwestAir  we understand air delays which are out of your control, terrible telephone support, apps and online access that do not work??",negative,we understand air delays which are out of your control terrible telephone support apps and online access that do not work,False,original
what is the baggage allowance on flights from glasgow to the us thanks,neutral,what is the baggage allowance on give thanks flights from glasgow to the us thanks,True,random_insertion
We didn't need this. RT @JetBlue: Our fleet's on fleek. http://t.co/cpZB285o71,negative,we didnt need this rt our fleets on fleek,False,original
@USAirways that's who I spoke to already. We've already booked another flight w/someone else. Thanks for your concern. Just wanted to,neutral,thats who i spoke to already weve already booked another flight wsomeone else thanks for your concern just wanted to,False,original
@VirginAmerica sounds like fun !,positive,sounds like fun,False,original
gave a credit for my late flight flight yesterday great service thats a wow moment unexpected gesture,positive,gave a credit for my late flight flight yesterday great news and a wow moment unexpected gesture,True,bert_paraphrasing
@SouthwestAir I know that not everybody on flight can be 1st time flying. But in case it is people in front deplane 1st not from the back?!?,neutral,i know that not everybody on flight can be 1st time flying but in case it is people in front deplane 1st not from the back,False,original
redcarpet southwest companion pass would be great,positive,redcarpet southwest companion pass with child would be great,True,random_insertion
@AmericanAir wow @AmericanAir still screw n stuff up,negative,wow still screw n stuff up,False,original
origindestinationdates are the same going from us airways connecting flight to aa direct flight award is saver level,neutral,origindestinationdates are the same going from us airways connecting flight to aa direct flight award is recoverer level,True,synonym_replacement
"@united  found a group of people who actually hates people more than ISIS, thats right United Airlines.",negative,found a group of people who actually hates people more than isis thats right united airlines,False,original
@USAirways in a few weeks,neutral,in a few weeks,False,original
"@AmericanAir now I have to wait ""more than 60 minutes""",negative,now i have to wait more than 60 minutes,False,original
@JetBlue works with Google #chrome but not Internet Explorer.,neutral,works with google chrome but not internet explorer,False,original
@JetBlue Airways to continue 'various commercial relationships' with #Lufthansa ... - @CAPA_Aviation http://t.co/vGqOihtRkH,neutral,airways to continue various commercial relationships with lufthansa,False,original
flt 3260 out of mht have fun with my kids and grandkids 10 of them jack says hi,neutral,flt 3260 out of mht have fun with my kids and grandkids some of them never says hi,True,bert_paraphrasing
"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes.",positive,love it taking on in their backyard consumers win when biz competes,False,original
@United my flight from MCO has been delayed &amp; scheduled to arrive after my connection departs. What options do I have?,negative,my flight from mco has been delayed amp scheduled to arrive after my connection departs what options do i have,False,original
sent my suggestion and comments via the link provided,neutral,sent my suggestion and called via the link provided,True,bert_paraphrasing
@JetBlue why is the buffalo flight so Late Flight?,negative,why is the buffalo flight so late flight,False,original
@USAirways we haven't departed yet so let's not get too high hopes.  But everything has been on schedule so far,positive,we havent departed yet so lets not get too high hopes but everything has been on schedule so far,False,original
love it taking on in their backyard consumers win when biz competes,positive,love it taking on in their backyard consumers win when everyone competes,True,bert_paraphrasing
yes thx at 1035 landed at 920,positive,yes thx at 1035 put down at 920,True,synonym_replacement
@JetBlue Sent my suggestion and comments via the link provided..,neutral,sent my suggestion and comments via the link provided,False,original
i know just a little cold weather humor,neutral,i guess just a little cold weather humor,True,bert_paraphrasing
thank you but it says the website is down,neutral,thank you but it means the website is down,True,bert_paraphrasing
"@SouthwestAir change your hold music, going on hour 3 and i'm about to loose it",negative,change your hold music going on hour 3 and im about to loose it,False,original
"@JetBlue Port-Au-Prince, Haiti for continued food distribution, medical supplies, &amp; orphan care!  #flyingitforward http://t.co/fn2QXybT9K",neutral,portauprince haiti for continued food distribution medical supplies amp orphan care flyingitforward,False,original
@AmericanAir my flight out of TYR tomorrow was Cancelled Flighted due to weather. How long until a rebook?,negative,my flight out of tyr tomorrow was cancelled flighted due to weather how long until a rebook,False,original
@SouthwestAir what about for us that cant get to the states they are playing for the hunt? Any DestinationDragons tickets left?Even just one,negative,what about for us that cant get to the states they are playing for the hunt any destinationdragons tickets lefteven just one,False,original
thanks for the reminder its been a fun ride,positive,thanks for the reminder its been a fun depend on,True,synonym_replacement
gains altitude but skywest hits turbulence jblu skyw investors business daily,neutral,gains altitude but skywest hits turbulence jblu skyw investors business day after day,True,synonym_replacement
checked in boardingpass wno checkin bagage guess im all set,neutral,jibe in boardingpass wno checkin bagage guess im all set,True,synonym_replacement
@JetBlue I'm trying to add my 2012 flights to my Badges account but i don't see an option. Help plz?,negative,im trying to add my 2012 flights to my badges account but i dont see an option help plz,False,original
alright done alternatively if youd like to charter a private jet for me to pitt i will gladly accept,positive,alright done alternatively if youd like to hire a private jet for me to pitt i will gladly accept,True,synonym_replacement
works with google chrome but not internet explorer,neutral,works with google chrome non but not internet explorer,True,random_insertion
"@SouthwestAir @travelportland welcome to Portland. Sun, Mt hood and Southwest. http://t.co/y3SAHVX3Zk",neutral,welcome to portland sun mt hood and southwest,False,original
great thank you lets hope so could you please notify me if flight 2302 leaves jfk thank you again,positive,great thank flight of stairs you lets hope so could you please notify me if flight 2302 leaves jfk thank you again,True,random_insertion
we were able to get on the moon flight just got to our hotel in puerto rico thank you,positive,we were able to get on the moon flight just prior to our hotel in puerto rico and you,True,bert_paraphrasing
i would go anywhere jetblue goes,positive,i would endure anywhere jetblue goes,True,synonym_replacement
@JetBlue thanks for making me miss an important dinner tonight. 2 hr delay and now 20 min on Tarmac... #worst,negative,thanks for making me miss an important dinner tonight 2 hr delay and now 20 min on tarmac worst,False,original
"@AmericanAir 
No one answers phone, delayed/Cancelled Flightled flights. Rude employees. You only get (I'm sorry, we apologize) blah blah blah. Bad",negative,no one answers phone delayedcancelled flightled flights rude employees you only get im sorry we apologize blah blah blah bad,False,original
@USAirways once again your company actualy put people in weird situations.Your hostel voucher was fake.Snow is ok but no lies please,negative,once again your company actualy put people in weird situationsyour hostel voucher was fakesnow is ok but no lies please,False,original
@united Hmmm...seems like this could be something to be changed to be more #flyerfriendly.,positive,hmmmseems like this could be something to be changed to be more flyerfriendly,False,original
"@JetBlue Rats, that's a bummer!",negative,rats thats a bummer,False,original
thats ok thanks for letting me know appreciate all the responses,positive,thats ok thanks for having me know appreciate all the responses,True,bert_paraphrasing
@AmericanAir I would like to be reimbursed for my shuttle from Denver after #1080 diversion 6+ hours sitting in plane and mech problems,negative,i would like to be reimbursed for my shuttle from denver after 1080 diversion 6 hours sitting in plane and mech problems,False,original
@USAirways then drop your fee! $150 ($300RT!!!!) makes no sense; most EU airlines charge $0. @AirCanada charges a reasonable $50.,negative,then drop your fee 150 300rt makes no sense most eu airlines charge 0 charges a reasonable 50,False,original
this could be the beginning of a bluetiful relationship lifeneedsfrosting,positive,this could be the beginning of a axerophthol bluetiful relationship lifeneedsfrosting,True,random_insertion
thank you but it says the website is down,neutral,not you but it says the website is down,True,bert_paraphrasing
At the airport ready to get this @JetBlue red eye going.... Soooooo sleepy.  #NoPlaceLikeHome #eventhoughits2degreesathome,neutral,at the airport ready to get this red eye going soooooo sleepy noplacelikehome eventhoughits2degreesathome,False,original
thanks for the complimentary upgrade to first you are the best,positive,now for the complimentary upgrade to first you are the best,True,bert_paraphrasing
"Still thinking, those PJs may have me sold @AmericanAir @momsgoodeats We'd #love to have you on board with us! @MandarinJourney here I come",positive,still thinking those pjs may have me sold wed love to have you on board with us here i come,False,original
@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,negative,how are you gonna have a deal from dallas to dc but no deal from dc to dallas sad,False,original
s ceo battles to appease passengers and wall street waterbury republican american,neutral,s ceo battles to appease business and wall street waterbury republican american,True,bert_paraphrasing
at what email adress can i send your ceo mr doug parker a letter that he hopefully reads,neutral,at what email adress can i send your ceo mr doug message a letter that he hopefully reads,True,bert_paraphrasing
@united I have received one previously on the 11th having checked. Odd as you said there was no complaint associated with my e-mail?,negative,i have received one previously on the 11th having checked odd as you said there was no complaint associated with my email,False,original
@United rescheduled my return flight from #Japan?  Uh why?  Trying to call #UnitedAirlines #customerservice - 45 min wait.  #fun,negative,rescheduled my return flight from japan uh why trying to call unitedairlines customerservice 45 min wait fun,False,original
ah no the staff was perfect this morning at jfk more sleep for me,positive,ah no the staff was faculty perfect this morning at jfk more sleep for me,True,random_insertion
@USAirways here's to sitting on hold for 4 hrs flight Cancelled Flighted and they disconnect twice. #fend4urself #stranded #diverted,negative,heres to sitting on hold for 4 hrs flight cancelled flighted and they disconnect twice fend4urself stranded diverted,False,original
@united tremendous. What would you recommend?,neutral,tremendous what would you recommend,False,original
our fleets on fleek i have to refrain what i want to say,neutral,our ride on fleek i have to refrain what i want to say,True,bert_paraphrasing
thank you so much for your help with my birthday trip tickets are confirmed,positive,thank you so much for your help with my birthday trip natal day tickets are confirmed,True,random_insertion
@USAirways any direct number to dividend miles account info? Every Time I try them I get actually hung up on,negative,any direct number to dividend miles account info every time i try them i get actually hung up on,False,original
"@AmericanAir @NY_NJairports AA1224: 45 mins for Priority bags to arrive, now Late Flight for evening plans! Delta 20 min bag guarantee anyone? :(",negative,aa1224 45 mins for priority bags to arrive now late flight for evening plans delta 20 min bag guarantee anyone,False,original
"@AmericanAir Nope, I have not been rebooked.",negative,nope i have not been rebooked,False,original
@USAirways Sitting on the runway at phl for the last 30 min because the correct weights for the flight aren't in the system? #jobfail,negative,sitting on the runway at phl for the last 30 min because the correct weights for the flight arent in the system jobfail,False,original
tell me the secrets to flying high redcarpet,neutral,tell me the secrets to the high redcarpet,True,bert_paraphrasing
we willsunday just a few days away,positive,we willsunday just a day few days away,True,random_insertion
"Thank you United! “@united: @dan_roam That's a beautiful place to stay a day longer. Have you been re-booked? If not, let me know. ^MN”",positive,thank you united thats a beautiful place to stay a day longer have you been rebooked if not let me know mn,False,original
thanks for the reupgrade to 1st class it may be a 45 min flight but it is appreciated,positive,thanks for the reupgrade to 1st class it may be a  min flight but it is appreciated,True,synonym_replacement
we were able to get on the moon flight just got to our hotel in puerto rico thank you,positive,we were able to get on the train we just got to our hotel in puerto rico thank you,True,bert_paraphrasing
"@SouthwestAir Thanks for the terrible service! Stranded in MDW for 2 days, &amp; now can't find confirmation for rebooked flight from MKE.",negative,thanks for the terrible service stranded in mdw for 2 days amp now cant find confirmation for rebooked flight from mke,False,original
@united thanks! We would like an apology and a full refund. Please confirm when we will receive.,negative,thanks we would like an apology and a full refund please confirm when we will receive,False,original
@SouthwestAir looks like you are up and running for the day. Still can't get through on the phone. Can you follow so I can dm you my info,negative,looks like you are up and running for the day still cant get through on the phone can you follow so i can dm you my info,False,original
"@USAirways horrible service, wrong plane arrived, many confirmed passengers could not get on flight we paid for due to lack of seats flight",negative,horrible service wrong plane arrived many confirmed passengers could not get on flight we paid for due to lack of seats flight,False,original
@AmericanAir but have been yet to receive assistance from one of your agents in securing a new connection. Many will now miss work tomorrow.,negative,but have been yet to receive assistance from one of your agents in securing a new connection many will now miss work tomorrow,False,original
traveling with two kids tomorrow ages 7 and 4 domestic do they need birth certificates to check in at airport,neutral,traveling with two kids tomorrow ages six and certificates domestic do they need birth when to check in at airport,True,bert_paraphrasing
@USAirways thanks,positive,thanks,False,original
despite shaky connections looks like ill get home tonight great job was touch and go for a while,positive,despite shaky connections looks like ill get cut tonight great job was through and go for a while,True,bert_paraphrasing
welcome to portland sun mt hood and southwest,neutral,welcome to portland sun mt south west hood and southwest,True,random_insertion
@USAirways has the worst customer service. Can't even get through to a rep you gotta be kidding me,negative,has the worst customer service cant even get through to a rep you gotta be kidding me,False,original
@USAirways 1 1/2 hours on hold to customer service without anyone answering is more than ridiculous!,negative,1 12 hours on hold to customer service without anyone answering is more than ridiculous,False,original
@AmericanAir why was my flight from Miami to Dallas Monday  rescheduled to Tuesday?,negative,why was my flight from miami to dallas monday rescheduled to tuesday,False,original
"@USAirways stranded at BWI after two diversions. No cust service, no transport. Dumped here. Terrible customer service!",negative,stranded at bwi after two diversions no cust service no transport dumped here terrible customer service,False,original
@USAirways tells me to talk to @AmericanAir about my delayed flights. AA tells me to talk to US. #ihatemergers,negative,tells me to talk to about my delayed flights aa tells me to talk to us ihatemergers,False,original
our fleets on fleek smh,neutral,our raid on fleek smh,True,bert_paraphrasing
april 6th anything specific i should know for my first flight,neutral,march 6th anything specific i should know for my first flight,True,bert_paraphrasing
please dont rt our fleets on fleek,neutral,thou dont rt our fleets on fleek,True,bert_paraphrasing
finally made it to rep who solved my problem,positive,finally made it to rep who solved my trouble,True,synonym_replacement
done i hope you can offer something,neutral,done i hope you can something,True,random_deletion
"@AmericanAir thanks for forcing me to check -in my carry - on luggage. That is exactly why I spent extra money on ""travel size"" toiletries",positive,thanks for forcing me to check in my carry on luggage that is exactly why i spent extra money on travel size toiletries,False,original
it was booked through work but added upgrade on seat need the upgrade receipt,positive,it was booked through work but added upgrade on seat need the upgrade 2011,True,bert_paraphrasing
can you help me add a aadvantage number and known traveler number to a reservation,neutral,can you help me get a aadvantage number and known traveler number to a reservation,True,bert_paraphrasing
love it taking on in their backyard consumers win when biz competes,positive,love it look at on in their backyard consumers win when biz competes,True,synonym_replacement
"@AmericanAir Yes, it says my reservation cannot be retrieved at this time. Also I never got an email from AA saying my flight was Cancelled Flightled.",negative,yes it says my reservation cannot be retrieved at this time also i never got an email from aa saying my flight was cancelled flightled,False,original
@AmericanAir What's the status at DFW? Ticket agent at gate A9 was very rude and unhelpful.,negative,whats the status at dfw ticket agent at gate a9 was very rude and unhelpful,False,original
retiring with my hubby and its our 25th wedding anniversary this year companion pass please,neutral,retiring with my son and its our 25th wedding of this year companion pass please,True,bert_paraphrasing
i had exceptional service on flight 403 from ind to phx,positive,i had exceptional service on flight 403 from service of process ind to phx,True,random_insertion
Haha! @JetBlue: Our fleet's on fleek. http://t.co/KmaNLdQbh4”,negative,haha our fleets on fleek,False,original
april 6th anything specific i should know for my first flight,neutral,april 6th anything specific i should know for my world class flight,True,synonym_replacement
@USAirways might possibly be THE WORST airline ever! I think it's time to brush up on customer service! #sorude,negative,might possibly be the worst airline ever i think its time to brush up on customer service sorude,False,original
thanks for offering this service guys,positive,thanks for service of process offering this service guys,True,random_insertion
how do i get a companion pass,neutral,how do i be a companion pass,True,bert_paraphrasing
"@AmericanAir You're clueless. A kind rez agnt contacted USAir 4me around midnite, told them what to do. If not that I'd have missed funeral.",negative,youre clueless a kind rez agnt contacted usair 4me around midnite told them what to do if not that id have missed funeral,False,original
@united FLT 3444 delayed because of maintenance - that's fixed but can't board because flight crew didn't stay in boarding area #fail,negative,flt 3444 delayed because of maintenance thats fixed but cant board because flight crew didnt stay in boarding area fail,False,original
"@SouthwestAir has grounded 2 flights b/c of equipment problems &amp; been rude to my wife, traveling alone w/our 2 young kids.  never again.",negative,has grounded 2 flights bc of equipment problems amp been rude to my wife traveling alone wour 2 young kids never again,False,original
"@AmericanAir We did talk with Delta for about hour over phone, and I got a number from Delta that they asked to give to AA, which I did.",neutral,we did talk with delta for about hour over phone and i got a number from delta that they asked to give to aa which i did,False,original
sureill send a message now,neutral,sureill send a content now,True,synonym_replacement
@AmericanAir Not necessary.  I am confident the excellent in-flight staff will make the appropriate report.,positive,not necessary i am confident the excellent inflight staff will make the appropriate report,False,original
@USAirways just hit 4hrs.  what is typical wait time right now? should i drive 2h30m to the airport service desk?,negative,just hit 4hrs what is typical wait time right now should i drive 2h30m to the airport service desk,False,original
@united no apology? Cool.,negative,no apology cool,False,original
@AmericanAir been calling for over 24hrs now and getting no where but told to call back by the automated system is extremely frustrating,negative,been calling for over 24hrs now and getting no where but told to call back by the automated system is extremely frustrating,False,original
please dont rt our fleets on fleek,neutral,please save rt our fleets on fleek,True,bert_paraphrasing
made the upgrade list will fly 1st tomorrow for 40 min for the first time ever raisinghands statusmatchpaidoff,positive,made the upgrade list will fly 1st tomorrow for 40 min fly sheet for the first time ever raisinghands statusmatchpaidoff,True,random_insertion
can u help with flights to get a 2y old battling cancer who needs treatment in unitedstates growingheart ribbon growingheart,neutral,can u help with flights to get a 2y old battling cancer who needs hero in unitedstates growingheart ribbon care,True,bert_paraphrasing
thanks for offering this service guys,positive,thanks for getting this service guys,True,bert_paraphrasing
at the airport ready to get this red eye going soooooo sleepy noplacelikehome eventhoughits2degreesathome,neutral,at the airport ready to get this red eye going soooooo just noplacelikehome eventhoughits2degreesathome,True,bert_paraphrasing
@virginamerica spruce moose!,neutral,spruce moose,False,original
@SouthwestAir not yet! Supposed to get it early evening tonight. Don't want to have to go to the store and buy new necessities.,negative,not yet supposed to get it early evening tonight dont want to have to go to the store and buy new necessities,False,original
"@JetBlue flight 99 to DCA 2 delays, I'm all for erring on the side of safety but it's an inconvenience to people with connecting flights!!",negative,flight 99 to dca 2 delays im all for erring on the side of safety but its an inconvenience to people with connecting flights,False,original
@JetBlue it was booked through work but added upgrade on seat. Need the upgrade receipt.,positive,it was booked through work but added upgrade on seat need the upgrade receipt,False,original
@USAirways @DRVRugby  team is back home but luggage all wet and partly damaged - Not happy! #blizzard,negative,team is back home but luggage all wet and partly damaged not happy blizzard,False,original
@AmericanAir no date on when revieving our money sent a letter in post and several emails no reply?? very frustrated,negative,no date on when revieving our money sent a letter in post and several emails no reply very frustrated,False,original
of course weather was a joke 43 beats 5 degrees in phl snowmanwithoutsnow sun,neutral,of course weather was a joke 43 beats 5 times in this snowmanwithoutsnow sun,True,bert_paraphrasing
done i hope you can offer something,neutral,done i hope you can say something,True,bert_paraphrasing
thank you for not cancelled flighting all flights and putting my husbands life in danger driving in this weather safetyfirst,positive,thank you for not out flighting all way and putting my husbands life in danger driving in this just safetyfirst,True,bert_paraphrasing
what is the baggage allowance on flights from glasgow to the us thanks,neutral,what is the baggage allowance on flights from glasgow to the netherlands thanks,True,bert_paraphrasing
@JetBlue trivia contest to win flight. 1 question. RT and Follow &amp; I'll send you answer to enter. http://t.co/AucSYKFUHD via @WSJPlus,neutral,trivia contest to win flight 1 question rt and follow amp ill send you answer to enter via,False,original
tweet just popped up on my phone with follows missing my favorite southwest pilot and brother,neutral,i just showed up on my phone with follows missing my favorite southwest pilot and brother,True,bert_paraphrasing
is z and d code airfare refundable,neutral,is code and d code airfare refundable,True,bert_paraphrasing
"@USAirways if a passenger is to large to put down the armrest and now is using part of my seat, what is my recourse?  #nothappy",negative,if a passenger is to large to put down the armrest and now is using part of my seat what is my recourse nothappy,False,original
.@united call my work and tell them it's your fault I'm Late Flight,negative,call my work and tell them its your fault im late flight,False,original
ah no the staff was perfect this morning at jfk more sleep for me,positive,ah no the staff was perfect this morning at president john f kennedy more sleep for me,True,synonym_replacement
